datetime	open	high	low	close	volume
15.02.2008 00:00	85.0	85.2	82.87	83.3	119537780
18.02.2008 00:00	83.95	85.5	83.51	84.83	39852010
19.02.2008 00:00	85.4	85.67	83.62	84.53	107461610
20.02.2008 00:00	83.7	84.0	82.2	82.66	61640450
21.02.2008 00:00	84.33	85.1	83.62	84.19	77205210
22.02.2008 00:00	82.97	83.5	81.85	82.92	62320470
25.02.2008 00:00	82.97	83.5	81.85	82.92	100505980
26.02.2008 00:00	84.11	85.3	83.79	84.71	130100930
27.02.2008 00:00	85.7	86.4	83.4	83.72	60785000
28.02.2008 00:00	83.55	83.88	82.67	82.91	35577470
29.02.2008 00:00	82.4	83.16	79.62	80.3	78340520
03.03.2008 00:00	78.2	79.15	76.2	78.62	88689890
04.03.2008 00:00	79.0	79.6	75.5	76.51	84997430
05.03.2008 00:00	77.1	78.48	75.21	78.32	96752190
06.03.2008 00:00	79.39	79.7	76.62	77.11	83344170
10.03.2008 00:00	75.31	76.0	74.11	74.75	74155140
11.03.2008 00:00	75.03	78.7	73.8	78.37	118123900
12.03.2008 00:00	79.7	80.65	78.05	78.47	93441930
13.03.2008 00:00	77.0	77.3	75.54	75.88	74414680
14.03.2008 00:00	76.56	80.15	76.2	77.0	129787040
17.03.2008 00:00	74.9	75.2	71.11	72.52	82648670
18.03.2008 00:00	73.9	74.95	71.41	74.59	136860980
19.03.2008 00:00	76.4	76.9	74.01	74.79	166466660
20.03.2008 00:00	72.85	74.2	72.2	73.56	100512040
21.03.2008 00:00	74.75	75.25	74.28	74.48	47616780
24.03.2008 00:00	74.69	77.7	73.77	76.96	74242530
25.03.2008 00:00	77.98	78.0	74.12	74.8	130022280
26.03.2008 00:00	74.75	75.24	72.64	73.05	99020710
27.03.2008 00:00	72.7	74.9	72.23	73.16	137814080
28.03.2008 00:00	73.52	74.4	72.57	73.34	88898910
31.03.2008 00:00	72.91	74.85	72.4	73.29	84028900
01.04.2008 00:00	73.5	75.31	72.93	75.03	130174570
02.04.2008 00:00	76.8	79.39	76.5	78.86	232712600
03.04.2008 00:00	78.8	79.67	76.63	76.83	137208470
04.04.2008 00:00	77.11	78.2	76.56	77.25	96729810
07.04.2008 00:00	78.0	79.62	78.0	79.28	73591570
08.04.2008 00:00	78.53	78.98	77.4	77.59	59709640
09.04.2008 00:00	77.3	79.4	76.9	78.78	81967960
10.04.2008 00:00	78.21	78.74	77.09	77.32	71848170
11.04.2008 00:00	78.0	78.1	74.12	74.49	153312320
14.04.2008 00:00	73.46	74.48	72.73	74.08	77627390
15.04.2008 00:00	74.23	74.64	73.35	73.63	71251680
16.04.2008 00:00	74.0	75.83	73.23	75.35	129437820
17.04.2008 00:00	75.65	75.8	73.27	73.51	124473040
18.04.2008 00:00	73.74	76.91	73.46	76.62	173270210
21.04.2008 00:00	77.0	77.1	74.8	75.13	89743070
22.04.2008 00:00	74.8	75.54	74.36	74.91	61475150
23.04.2008 00:00	74.95	75.1	73.45	74.29	78777020
24.04.2008 00:00	74.36	74.92	73.12	74.28	78595310
25.04.2008 00:00	74.51	75.49	74.36	75.02	91881690
28.04.2008 00:00	75.2	76.18	74.87	75.68	76582600
29.04.2008 00:00	75.65	77.65	75.51	76.95	153951650
02.05.2008 00:00	76.85	77.35	75.56	77.11	118123440
05.05.2008 00:00	80.0	82.08	79.89	81.03	152113940
06.05.2008 00:00	80.85	81.43	79.81	80.22	91446010
07.05.2008 00:00	80.98	82.89	80.37	82.18	94024080
09.05.2008 00:00	81.0	83.48	80.71	81.63	119992110
12.05.2008 00:00	80.99	83.22	80.25	82.69	112895090
13.05.2008 00:00	83.9	84.65	82.07	83.15	154953480
14.05.2008 00:00	82.85	84.35	81.78	84.02	116412960
15.05.2008 00:00	84.5	85.49	83.51	83.96	151891960
16.05.2008 00:00	84.65	86.1	84.22	85.8	112940530
19.05.2008 00:00	86.0	88.87	85.8	88.59	154895560
20.05.2008 00:00	88.25	88.27	86.5	87.31	124622040
21.05.2008 00:00	86.4	88.6	85.95	87.33	105601200
22.05.2008 00:00	86.9	86.95	85.17	85.54	126049210
23.05.2008 00:00	85.81	86.62	85.55	86.32	61940990
26.05.2008 00:00	85.88	86.18	84.3	84.76	50286090
27.05.2008 00:00	84.69	85.2	82.3	83.1	89463550
28.05.2008 00:00	83.5	85.03	83.01	84.77	75381730
29.05.2008 00:00	85.0	85.3	84.03	84.55	78448780
30.05.2008 00:00	85.56	86.06	85.11	85.24	52114380
02.06.2008 00:00	85.17	85.49	83.8	84.5	55657690
03.06.2008 00:00	83.52	83.9	82.86	83.55	66365610
04.06.2008 00:00	83.11	83.5	81.42	82.22	85389320
05.06.2008 00:00	81.99	84.17	81.8	82.1	91775190
06.06.2008 00:00	83.31	83.45	80.26	80.73	78930690
09.06.2008 00:00	78.83	79.85	78.52	79.37	69394280
10.06.2008 00:00	78.5	79.07	77.51	78.52	65186870
13.06.2008 00:00	79.2	79.63	78.35	78.63	38180890
16.06.2008 00:00	79.4	80.36	78.7	78.9	50226680
17.06.2008 00:00	79.49	81.46	79.27	81.12	90196960
18.06.2008 00:00	80.69	81.79	80.24	80.61	72643310
19.06.2008 00:00	80.0	80.75	79.66	80.21	62643710
20.06.2008 00:00	80.2	80.75	78.5	78.93	73224380
23.06.2008 00:00	78.5	79.0	77.5	78.05	54878970
24.06.2008 00:00	78.0	78.07	76.28	76.58	55510430
25.06.2008 00:00	76.8	78.44	76.67	77.92	75829970
26.06.2008 00:00	78.77	78.78	76.8	77.14	62632130
27.06.2008 00:00	75.8	76.75	75.35	76.3	77401190
30.06.2008 00:00	75.9	76.2	73.92	74.33	64058340
01.07.2008 00:00	74.1	74.5	71.02	71.54	97647100
02.07.2008 00:00	72.2	73.48	71.4	72.92	103794460
03.07.2008 00:00	71.7	73.45	70.37	73.01	101444000
04.07.2008 00:00	73.01	73.1	71.57	72.34	52425640
07.07.2008 00:00	72.94	74.12	72.81	73.4	62204880
08.07.2008 00:00	72.01	74.44	70.76	73.86	105600730
09.07.2008 00:00	75.01	75.85	73.65	75.52	100222820
10.07.2008 00:00	73.9	75.74	73.27	74.78	92664480
11.07.2008 00:00	75.0	75.45	72.37	72.73	67543010
14.07.2008 00:00	73.32	75.12	73.03	74.77	51902060
15.07.2008 00:00	73.21	73.87	71.71	72.34	68477170
16.07.2008 00:00	72.5	73.25	70.25	72.74	115961110
17.07.2008 00:00	74.3	77.59	74.3	77.23	195346750
18.07.2008 00:00	76.5	77.85	75.0	75.7	190785640
21.07.2008 00:00	76.2	77.3	75.3	77.03	87897200
22.07.2008 00:00	76.25	76.45	74.16	74.37	88927920
23.07.2008 00:00	76.0	76.6	75.25	76.06	80542020
24.07.2008 00:00	76.49	76.73	75.45	75.72	88038960
25.07.2008 00:00	73.98	74.0	68.54	70.23	170793850
28.07.2008 00:00	70.99	72.26	69.31	69.94	123980670
29.07.2008 00:00	67.64	68.68	66.01	66.49	130241750
30.07.2008 00:00	68.49	70.17	67.61	69.85	135379850
31.07.2008 00:00	70.79	72.45	68.9	69.21	152683760
01.08.2008 00:00	68.06	69.24	67.15	68.01	95605030
04.08.2008 00:00	67.5	67.89	63.77	64.45	94499410
05.08.2008 00:00	63.51	64.7	61.8	62.28	118765830
06.08.2008 00:00	64.0	64.57	60.0	63.39	153200860
07.08.2008 00:00	63.4	65.12	62.92	64.1	106096680
08.08.2008 00:00	63.02	63.64	59.61	60.14	138980560
11.08.2008 00:00	59.51	65.99	54.53	64.23	209218650
12.08.2008 00:00	65.0	69.73	63.9	67.68	195740110
